contract_id,file_name,file_type,page,sentence_id,sentence
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,1,"Exhibit 10.8 Affiliate Program / Premium Affiliate Management General Terms and Conditions The following General Terms and Conditions are intended for (i) Web site owners (hereafter, ""Affiliates"") who wish to participate as Affiliates in the Affiliate Program provided by element 5 (governed by II. and IV. in these General Terms and Conditions) on the basis of these General Terms and Conditions and also for (ii) Software Publishers who distribute their software products as downloads using the services of element 5 GmbH, Vogelsanger Strasse 78, 50823 Cologne, Germany and its subsidiaries (together hereafter, ""element 5"") and who wish to make use of the additional service provided by element 5 (hereafter, ""Affiliate Management"", governed under III. and IV. in these General Terms and Conditions) for integration of the Affiliate Program provided by element 5."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,2,I.
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,3,"Object of the Affiliate Program/ Affiliate Management Program for Software Publishers The object of the Affiliate Program provided by element 5 (hereafter, ""Program"") is to publish electronic advertisements on the Web site of the Affiliate for selected software products offered by element 5 Software Publishers."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,4,"Instead of fixed compensation, the Affiliate receives result-dependent Advertising Cost Compensation (also known in the element 5 Control Panel as ""Commission"") in exchange for publishing the advertisements."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,5,The Advertising Cost Compensation depends on the actual sales generated by end users referred via the electronic advertisement (the Affiliate's link).
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,6,"Within the context of sales processed from this Program, element 5 acts (to the end user) as a service provider for Software Publisher and handles the sales process by proxy of Software Publisher in accordance with underlying share-it!"
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,7,Developer Agreement. element 5 receives an additional service fee from the participating Publishers for this Affiliate Management.
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,8,"Under the terms of this Affiliate Management, ""Software Publisher's Control Panel"" shall mean the password protected secure interface on element 5's Web servers that allows the Software Publisher to gain access to Sales data and End User data through a secure online connection and change Software Publisher related settings, e.g. the commission of the Affiliate and activation and deactivation of the Affiliate. ""Affiliate's Control Panel"" shall mean the password protected secure interface on element 5's Web servers that allows the Affiliate to (i) gain access to referred sales through a secure online connection and (ii) change Affiliate related settings, e.g. input or alteration of personal data, definition of default style within the context of the given technical limitations, and requests for new partnerships with Software Publishers or termination of existing partnerships."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,1,9,"Source: SOUTHERN STAR ENERGY INC., SB-2/A, 12/2/2005"
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,10,II.
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,11,Affiliate Program § 1 Affiliate Participation Participation of an individual Affiliate in the Program is dependent on activation by the Software Publisher.
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,12,"Once the Affiliate has registered, element 5 will send an e-mail to Software Publisher with a request to activate the Affiliate."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,13,"Once the Affiliate is activated by the Software Publisher, the Affiliate is considered to be a participant in this program and is bound by these General Terms and Conditions. § 2 Products under the Agreement (1) The Products under the Agreement are software products designated by the respective Software Publisher for this purpose and which can be selected by the Affiliate from a product catalog in the Affiliate Control Panel."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,14,"(2) Following initial activation of a product under the agreement, the Affiliate has the opportunity to choose further software products (including those from other Software Publishers), found in the Affiliate's Control Panel, and offer them on the Affiliate's Web site under these General Terms and Conditions."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,15,"However, the offering of these new products is dependent on the Software Publisher activating the Affiliate for the respective software. § 3 Control Panel (1) After successfully completing the registration process for participation in the Program, the Affiliate will be sent a user ID and a password to access to the ""Affiliate Control Panel""."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,16,"With the user ID and password, the ""Affiliate Control Panel"" provides the Affiliate access, via a secure online connection, to a secure area on element 5's Web server so that the Affiliate may, at any time, view the number of software sales the Affiliate has referred, as well as change other settings."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,17,"(2) When using the user ID and password, the Affiliate shall observe the following obligations and precautions: (i) Only the Affiliate may use the user ID and password. (ii) The password shall be kept strictly confidential."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,18,"The Affiliate shall take due care to ensure that no unauthorized parties learn the password. (iii) If the Affiliate loses its password or if there is a possibility that an unauthorized party has learned the user ID and password, the Affiliate shall immediately report this to element 5, which can then block access by the Affiliate to the Control Panel."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,19,All actions carried out with the user ID and password will be attributed to the Affiliate. § 4 Integration of the Link (1) The Affiliate shall integrate the product under the agreement using the appropriate link on its Web site; the link points to the order form operated by element 5.
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,20,This link is generated by a Link Generator for the respective product under the agreement.
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,2,21,"The Link Source: SOUTHERN STAR ENERGY INC., SB-2/A, 12/2/2005"
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,3,22,"Generator is located in the secure area of element 5's Web site in the ""Affiliate Control Panel""."
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,3,23,The link that is generated contains an individualized affiliate user ID by means of which any sales can be attributed to the Affiliate.
26,1e25829c-1232-4482-8c74-0332d3c5d441.pdf,pdf,3,24,Proper technical integration of the link is the responsibility of the Affiliate.
